mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,sample_id,method,ood_label
0.003012483473867178,0.0054121664725244045,0.01232719887048006,0.025248298421502113,0.09733235090970993,4,8559,0.006448130885040364,trajectory_bend_Base_TC4_sample_0166.npz,166,roundtrip,RD_high
0.02062767557799816,0.05075179040431976,0.06306178867816925,0.10692255198955536,0.347556471824646,180,2612,0.0303602532022983,trajectory_bend_Base_TC4_sample_0166.npz,166,pod_oracle,RD_high
0.04198243096470833,0.07182595133781433,0.11706244945526123,0.19258537888526917,0.38131919503211975,164,4075,0.05731518670785917,trajectory_bend_Base_TC4_sample_0166.npz,166,rom,RD_high
0.004259916488081217,0.006880233529955149,0.015441426075994968,0.039802033454179764,0.14534135162830353,8,19052,0.006495444131888258,trajectory_bend_Base_TC4_sample_0167.npz,167,roundtrip,RD_high
0.027716128155589104,0.06602652370929718,0.08441129326820374,0.1445603221654892,0.5940053462982178,180,5856,0.027425810813119903,trajectory_bend_Base_TC4_sample_0167.npz,167,pod_oracle,RD_high
0.04369344562292099,0.07766812294721603,0.10911354422569275,0.17721639573574066,0.5965895652770996,180,5856,0.03732970781928943,trajectory_bend_Base_TC4_sample_0167.npz,167,rom,RD_high
0.0023635798133909702,0.003664180403575301,0.008595607243478298,0.013492011465132236,0.04896295443177223,7,1669,0.010400850716994623,trajectory_bend_Base_TC4_sample_0168.npz,168,roundtrip,D_low+tD_high
0.017298482358455658,0.036971498280763626,0.04787318408489227,0.06812562048435211,0.12039574235677719,180,588,0.05746113231363191,trajectory_bend_Base_TC4_sample_0168.npz,168,pod_oracle,D_low+tD_high
0.05014296621084213,0.08647806197404861,0.10819408297538757,0.1296616643667221,0.19277583062648773,180,589,0.14536443091076093,trajectory_bend_Base_TC4_sample_0168.npz,168,rom,D_low+tD_high
0.002298250561580062,0.003894365392625332,0.009608794003725052,0.013241599313914776,0.046033237129449844,4,1957,0.008882413869650448,trajectory_bend_Base_TC4_sample_0169.npz,169,roundtrip,D_low+RD_high
0.01646481268107891,0.037553571164608,0.039539046585559845,0.05511701479554176,0.23833401501178741,180,642,0.04519537370359621,trajectory_bend_Base_TC4_sample_0169.npz,169,pod_oracle,D_low+RD_high
0.05920819938182831,0.07750478386878967,0.10842958092689514,0.13169357180595398,0.3174232244491577,180,651,0.1380245048895544,trajectory_bend_Base_TC4_sample_0169.npz,169,rom,D_low+RD_high
0.004445966798812151,0.007383209653198719,0.0168125219643116,0.04417449235916138,0.1850048452615738,4,24464,0.006198317864641353,trajectory_bend_Base_TC4_sample_0171.npz,171,roundtrip,D_high+RD_high
0.029987460002303123,0.09842102229595184,0.09065312147140503,0.15825822949409485,0.8044144511222839,180,7343,0.026493777924036965,trajectory_bend_Base_TC4_sample_0171.npz,171,pod_oracle,D_high+RD_high
0.04605438932776451,0.18083462119102478,0.1280820667743683,0.18479736149311066,0.7005116939544678,180,7343,0.036253366522931846,trajectory_bend_Base_TC4_sample_0171.npz,171,rom,D_high+RD_high
0.002752715488895774,0.0038060022052377462,0.00930098444223404,0.01846982166171074,0.0623120479285717,4,3818,0.008063663684465677,trajectory_bend_Base_TC4_sample_0172.npz,172,roundtrip,tD_high+RD_high
0.01788095384836197,0.04129187762737274,0.04711449518799782,0.06910276412963867,0.2475913017988205,180,1168,0.03571969916242653,trajectory_bend_Base_TC4_sample_0172.npz,172,pod_oracle,tD_high+RD_high
0.05493196099996567,0.08711513876914978,0.1167367622256279,0.15724647045135498,0.26653698086738586,180,1167,0.09633712065243637,trajectory_bend_Base_TC4_sample_0172.npz,172,rom,tD_high+RD_high
0.005210584495216608,0.0075179715640842915,0.01888744905591011,0.05093501880764961,0.19077709317207336,9,18284,0.009872776038902326,trajectory_bend_Base_TC4_sample_0180.npz,180,roundtrip,D_high_mild
0.028568102046847343,0.04125593602657318,0.08753643184900284,0.15759721398353577,0.33308711647987366,57,14567,0.03489523967318634,trajectory_bend_Base_TC4_sample_0180.npz,180,pod_oracle,D_high_mild
0.059691671282052994,0.08676671236753464,0.15248224139213562,0.22603566944599152,0.38418048620224,39,15953,0.06032757555221805,trajectory_bend_Base_TC4_sample_0180.npz,180,rom,D_high_mild
0.003070545382797718,0.004594813566654921,0.01074710488319397,0.018739869818091393,0.07606261968612671,5,3965,0.010156455772805184,trajectory_bend_Base_TC4_sample_0181.npz,181,roundtrip,tD_high_mild
0.022490711882710457,0.03746246546506882,0.058231983333826065,0.07970846444368362,0.1576533168554306,143,1703,0.050999223752897414,trajectory_bend_Base_TC4_sample_0181.npz,181,pod_oracle,tD_high_mild
0.07849855720996857,0.09697358310222626,0.12684889137744904,0.16059745848178864,0.2461969256401062,127,1964,0.15286960048122725,trajectory_bend_Base_TC4_sample_0181.npz,181,rom,tD_high_mild
0.0027048883493989706,0.004321194253861904,0.011335162445902824,0.02124200388789177,0.10507706552743912,7,8179,0.006094791716852104,trajectory_bend_Base_TC4_sample_0182.npz,182,roundtrip,RD_high_mild
0.017415981739759445,0.038623932749032974,0.04669725149869919,0.08323051035404205,0.27502402663230896,180,2536,0.025624183632270554,trajectory_bend_Base_TC4_sample_0182.npz,182,pod_oracle,RD_high_mild
0.027745261788368225,0.05108918249607086,0.08271601796150208,0.11737373471260071,0.2658177316188812,180,2535,0.04017508708873805,trajectory_bend_Base_TC4_sample_0182.npz,182,rom,RD_high_mild
