mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,eval_sample_id,source_sample_id,mesh_size_mm,method
0.03715132176876068,0.0463491752743721,0.07167230546474457,0.10579174757003784,0.22338686883449554,163,4543,0.051670286886739164,trajectory_bend_Base_TC4_sample_0185.npz,185,3,0.8,rom
0.0032445325050503016,0.0049917795695364475,0.012946687638759613,0.031422290951013565,0.12647171318531036,5,8325,0.00917957431578791,trajectory_bend_Base_TC4_sample_0003.npz,3,3,1.0,roundtrip
0.01725413091480732,0.02743646502494812,0.05221925303339958,0.10176757723093033,0.1981889307498932,126,4125,0.03167894229202123,trajectory_bend_Base_TC4_sample_0003.npz,3,3,1.0,pod_oracle
0.030482204630970955,0.056776292622089386,0.07213945686817169,0.11149754375219345,0.22530363500118256,132,3916,0.045394524093224746,trajectory_bend_Base_TC4_sample_0003.npz,3,3,1.0,rom
0.0039861309342086315,0.006266576703637838,0.01642737165093422,0.03497589752078056,0.13025444746017456,10,5345,0.010590435510439542,trajectory_bend_Base_TC4_sample_0186.npz,186,3,1.25,roundtrip
0.01777617819607258,0.030057132244110107,0.0533127635717392,0.10310980677604675,0.23115326464176178,177,1758,0.03284651363447905,trajectory_bend_Base_TC4_sample_0186.npz,186,3,1.25,pod_oracle
0.03200850635766983,0.044087402522563934,0.06863988190889359,0.11863252520561218,0.23058152198791504,164,1844,0.04645873343729998,trajectory_bend_Base_TC4_sample_0186.npz,186,3,1.25,rom
0.003618593094870448,0.0055556404404342175,0.013136264868080616,0.03262195363640785,0.12905964255332947,23,11078,0.010656492249026444,trajectory_bend_Base_TC4_sample_0174.npz,174,139,0.8,roundtrip
0.0179763101041317,0.029288198798894882,0.05130636319518089,0.09971023350954056,0.21673257648944855,113,6642,0.03491669036731922,trajectory_bend_Base_TC4_sample_0174.npz,174,139,0.8,pod_oracle
0.03299495950341225,0.05576745420694351,0.07353337109088898,0.1086338609457016,0.20770996809005737,150,4831,0.051183112154801876,trajectory_bend_Base_TC4_sample_0174.npz,174,139,0.8,rom
0.003875036956742406,0.0061308834701776505,0.014575152657926083,0.03107379749417305,0.124054916203022,9,7636,0.010311894208250395,trajectory_bend_Base_TC4_sample_0139.npz,139,139,1.0,roundtrip
