source_sample_id,eval_sample_id,mesh_size_mm,frame,world_radius_mm,num_world_edges,world_edges_per_node,world_degree_all_mean,world_degree_all_p05,world_degree_all_p50,world_degree_all_p95,world_degree_all_max,world_degree_tube_mean,world_degree_tube_p05,world_degree_tube_p50,world_degree_tube_p95,world_degree_tube_max,world_len_mm_mean,world_len_mm_p05,world_len_mm_p50,world_len_mm_p95,world_len_mm_max,world_zlen_abs_p95,world_zlen_abs_max,world_z_any_abs_gt3_frac,world_raw_outside_train_range_frac,world_len_outside_train_range_frac
3,185,0.8,90,2.0,837802,15.76089696559249,15.760896682739258,0.0,16.0,44.0,51.0,31.719194412231445,12.0,32.0,46.0,51.0,1.4962798357009888,0.6585026979446411,1.5892106294631958,1.9464714527130127,1.9999982118606567,3.68526029586792,5.797162055969238,0.19544953107833862,0.9030510783195496,0.7745290994644165
3,185,0.8,135,2.0,770778,14.500028218296743,14.500027656555176,0.0,15.0,43.0,51.0,29.659578323364258,12.0,32.0,45.0,51.0,1.4931244850158691,0.6556491255760193,1.5932973623275757,1.94633150100708,1.9999970197677612,3.676988124847412,5.793338298797607,0.19537661969661713,0.9020704030990601,0.7776376605033875
3,185,0.8,179,2.0,708860,13.335214553116241,13.335214614868164,0.0,12.0,36.0,50.0,27.756868362426758,12.0,31.0,45.0,50.0,1.493298053741455,0.6484741568565369,1.599926233291626,1.950624942779541,1.9999980926513672,3.685899257659912,5.802778720855713,0.2036227136850357,0.9003554582595825,0.7800552845001221
3,186,1.25,0,2.0,128642,5.816693796346536,5.8166937828063965,0.0,6.0,14.0,20.0,9.603015899658203,4.0,9.0,15.0,20.0,1.4419158697128296,0.4651084542274475,1.4920953512191772,1.953175663948059,1.9999244213104248,3.809117317199707,5.801181316375732,0.23516425490379333,0.9130144715309143,0.6482952833175659
3,186,1.25,45,2.0,120650,5.4553264604811,5.455326557159424,0.0,6.0,13.0,19.0,9.006420135498047,4.0,9.0,15.0,19.0,1.422734260559082,0.42167770862579346,1.4778715372085571,1.9534852504730225,1.999847412109375,3.827019453048706,5.7872700691223145,0.22882719337940216,0.8830170631408691,0.6516701579093933
3,186,1.25,90,2.0,113006,5.109694338940134,5.109694480895996,0.0,6.0,13.0,18.0,8.43580150604248,0.0,9.0,14.0,18.0,1.4248286485671997,0.44605106115341187,1.4911772012710571,1.9523154497146606,1.9999639987945557,3.8153505325317383,5.796595096588135,0.24280127882957458,0.9113144874572754,0.669008731842041
3,186,1.25,135,2.0,100496,4.544040513655272,4.544040679931641,0.0,5.0,13.0,19.0,7.501940727233887,0.0,8.0,14.0,19.0,1.4063220024108887,0.4340532422065735,1.4655399322509766,1.9478579759597778,1.9999885559082031,3.8192410469055176,5.783701419830322,0.22862602770328522,0.860790491104126,0.6502547860145569
3,186,1.25,179,2.0,91240,4.125519985530837,4.125519752502441,0.0,1.0,12.0,19.0,6.810988426208496,0.0,8.0,14.0,19.0,1.4066168069839478,0.44255751371383667,1.476100206375122,1.9533942937850952,1.999997615814209,3.817045211791992,5.799798965454102,0.24206487834453583,0.8890179395675659,0.6699473857879639
139,139,1.0,0,2.0,342340,10.830802328524424,10.830801963806152,0.0,12.0,26.0,35.0,19.909347534179688,13.0,19.0,28.0,35.0,1.493800401687622,0.676322340965271,1.5761284828186035,1.9727935791015625,1.999997854232788,3.7060186862945557,5.8104095458984375,0.32364314794540405,0.8330782055854797,0.7097797393798828
139,139,1.0,45,2.0,319718,10.115097443685142,10.115097045898438,0.0,12.0,26.0,31.0,18.63393783569336,11.0,17.0,27.0,31.0,1.4818772077560425,0.6596185564994812,1.5621343851089478,1.9728012084960938,1.9999984502792358,3.74120831489563,5.804713726043701,0.3218523859977722,0.8317704796791077,0.7096128463745117
